"","society_id","lat","long","hc7.cluster"
"938","Na5",58,-70,3
"939","Na6",60,-166,7
"940","Na7",53,-83,7
"941","Na8",62,-160,7
"942","Na9",53.86,-166.79,7
"943","Nb1",54,-132,7
"944","Nb10",53,-126,7
"945","Nb11",49.16,-125.85,7
"946","Nb12",51,-125,7
"947","Nb13",50,-123,7
"948","Nb14",49.72,-124.97,7
"949","Nb15",48.84,-123.27,7
"950","Nb16",48,-123,7
"951","Nb17",47,-122,7
"952","Nb18",47.91,-124.59,7
"953","Nb19",45.99,-123.77,7
"954","Nb2",48,-123,7
"955","Nb20",44.75,-123.72,7
"956","Nb21",43,-124,7
"957","Nb22",58.12,-133.92,7
"958","Nb23",52,-128,7
"959","Nb24",48.33,-124.62,7
"960","Nb25",47.42,-124.16,7
"961","Nb26",49.01,-122.73,7
"962","Nb27",49,-122,7
"963","Nb28",44,-124,7
"964","Nb29",44,-124,7
"965","Nb3",51,-127.49,7
"966","Nb30",42,-123,1
"967","Nb31",42,-124,7
"968","Nb32",41,-122,1
"969","Nb33",41,-123,1
"970","Nb34",42,-123,7
"971","Nb35",41,-123,7
"972","Nb36",39.81,-123.55,7
"973","Nb37",40,-123,7
"974","Nb38",40.35,-123.47,1
"975","Nb39",39.73,-123.6,1
"976","Nb4",41,-124,7
"977","Nb5",60.34,-144.85,7
"978","Nb6",42,-124,7
"979","Nb7",54.64,-130.25,7
"980","Nb8",54,-129,7
"981","Nb9",52,-127,7
"982","Nc1",39,-122,1
"983","Nc10",41,-121,1
"984","Nc11",41,-122,1
"985","Nc12",40,-121,1
"986","Nc13",39,-121,1
"987","Nc14",41,-122,7
"988","Nc15",39.34,-123.77,7
"989","Nc16",39,-123,1
"990","Nc17",39,-123,1
"991","Nc18",39,-123,1
"992","Nc19",38.55,-122.94,1
"993","Nc2",39,-118,1
"994","Nc20",38.22,-122.56,1
"995","Nc21",38.75,-123.2,1
"996","Nc22",39,-122,1
"997","Nc23",37,-119,1
"998","Nc24",36,-120,1
"999","Nc25",36,-119,1
"1000","Nc26",36,-121,1
"1001","Nc27",35,-118,1
"1002","Nc28",34.44,-119.71,7
"1003","Nc29",34,-118,7
"1004","Nc3",36,-120,1
"1005","Nc30",34,-117,1
"1006","Nc31",33,-116,1
"1007","Nc32",33,-117,1
"1008","Nc33",33,-117,1
"1009","Nc34",31,-115,1
"1010","Nc4",41,-121,1
"1011","Nc5",38,-120,1
"1012","Nc6",32,-116,1
"1013","Nc7",40,-123,1
"1014","Nc8",43,-122,7
"1015","Nc9",42,-122,1
"1016","Nd1",45,-121,7
"1017","Nd10",50,-122,7
"1018","Nd11",51,-120,7
"1019","Nd12",46,-113,1
"1020","Nd13",49,-117,1
"1021","Nd14",48,-117,1
"1022","Nd15",49,-120,7
"1023","Nd16",48,-121,7
"1024","Nd17",46,-122,7
"1025","Nd18",46,-121,7
"1026","Nd19",46,-119,7
"1027","Nd2",38,-109,1
"1028","Nd20",45,-115,7
"1029","Nd21",43,-117,1
"1030","Nd22",43,-119,1
"1031","Nd23",42,-118,1
"1032","Nd24",42,-120,1
"1033","Nd25",41,-118,1
"1034","Nd26",41,-120,1
"1035","Nd27",40,-119,1
"1036","Nd28",40,-118,1
"1037","Nd29",37,-118,1
"1038","Nd3",36,-112,6
"1039","Nd30",37,-118,1
"1040","Nd31",36,-118,1
"1041","Nd32",36,-117,1
"1042","Nd33",37,-116,1
"1043","Nd34",37,-117,1
"1044","Nd35",39,-117,1
"1045","Nd36",39,-117,1
"1046","Nd37",39,-116,1
"1047","Nd38",39,-115,1
"1048","Nd39",40,-115,1
"1049","Nd4",48,-119,7
"1050","Nd40",40,-113,1
"1051","Nd41",41,-116,1
"1052","Nd42",41,-116,1
"1053","Nd43",41,-117,1
"1054","Nd44",42,-115,7
"1055","Nd45",43,-112,1
"1056","Nd46",44,-112,7
"1057","Nd47",44,-111,1
"1058","Nd48",40,-114,1
"1059","Nd49",37,-110,1
"1060","Nd5",42,-112,1
"1061","Nd50",38,-112,1
"1062","Nd51",36,-115,1
"1063","Nd52",36,-117,1
"1064","Nd53",36,-113,1
"1065","Nd54",35,-115,1
"1066","Nd55",36,-115,1
"1067","Nd56",36,-111,1
"1068","Nd57",39,-113,1
"1069","Nd58",40,-112,1
"1070","Nd59",39,-112,1
"1071","Nd6",39,-120,1
"1072","Nd60",37,-105,1
"1073","Nd61",40,-105,1
"1074","Nd62",39,-107,1
"1075","Nd63",43,-112,1
"1076","Nd64",43,-109,1
"1077","Nd65",36,-114,1
"1078","Nd66",35,-112,1
"1079","Nd67",34,-114,1
"1080","Nd7",50,-117,7
"1081","Nd8",52,-122,7
"1082","Nd9",50.02,-124.78,7
"1083","Ne1",48.78,-108.98,3
"1084","Ne10",46,-101,6
"1085","Ne11",48,-106,3
"1086","Ne12",51,-112,3
"1087","Ne13",51,-115,3
"1088","Ne14",51,-100,3
"1089","Ne15",47,-101,4
"1090","Ne16",29,-96,7
"1091","Ne17",36,-99,3
"1092","Ne18",49,-115,3
"1093","Ne19",45,-94,3
"1094","Ne2",36,-99,3
"1095","Ne20",45,-94,3
"1096","Ne21",29,-99,1
"1097","Ne3",33,-100,3
"1098","Ne4",45,-108,3
"1099","Ne5",39,-104,3
"1100","Ne6",47,-101,6
"1101","Ne7",54,-110,3
"1102","Ne8",43,-103,3
"1103","Ne9",40,-103,3
"1104","Nf10",41,-95,6
"1105","Nf11",40,-95,6
"1106","Nf12",43,-99,6
"1107","Nf13",37,-85,6
"1108","Nf14",33,-93,6
"1109","Nf15",43,-90,6
"1110","Nf2",44,-88,6
"1111","Nf3",41,-96,6
"1112","Nf4",40,-86,6
"1113","Nf5",34,-98,6
"1114","Nf6",42,-100,6
"1115","Nf7",45,-95,6
"1116","Nf8",31,-95,4
"1117","Nf9",46,-88,6
"1118","Ng1",44,-78,5
"1119","Ng10",43,-77,6
"1120","Ng11",35,-86,5
"1121","Ng12",33,-88,6
"1122","Ng13",46,-70,6
"1123","Ng14",35,-85,4
"1124","Ng15",30,-90,6
"1125","Ng3",33,-84,6
"1126","Ng4",45,-68,1
"1127","Ng5",36,-83,6
"1128","Ng6",41,-75,6
"1129","Ng7",32,-91,6
"1130","Ng8",27,-82,6
"1131","Ng9",35,-80,4
"1132","Nh1",31,-108,1
"1133","Nh10",35,-107,4
"1134","Nh11",36,-106,4
"1135","Nh12",35,-107,4
"1136","Nh13",35,-108,4
"1137","Nh14",35,-107,4
"1138","Nh15",33,-103,1
"1139","Nh16",36,-104,6
"1140","Nh17",34,-110,6
"1141","Nh18",36,-111,4
"1142","Nh19",32,-115,6
"1143","Nh2",36,-111,4
"1144","Nh20",33,-115,6
"1145","Nh21",35,-114,6
"1146","Nh22",33,-114,5
"1147","Nh23",34,-111,1
"1148","Nh24",30,-100,1
"1149","Nh25",36,-107,4
"1150","Nh26",36,-106,4
"1151","Nh27",36,-105,4
"1152","Nh3",37,-110,4
"1153","Nh4",35,-109,4
"1154","Nh5",33,-113,6
"1155","Nh6",37,-106,4
"1156","Nh7",36,-106,4
"1157","Nh8",36,-107,4
"1158","Nh9",36,-106,4
"1159","Ni1",28,-107,4
"1160","Ni2",31,-112,6
"1161","Ni3",23,-104,4
"1162","Ni4",29,-112,7
"1163","Ni5",22,-100,1
"1164","Ni6",31,-111,6
"1165","Ni7",28,-110,4
"1166","Ni8",30,-110,6
"1167","Ni9",27,-107,4
"1168","Nj1",18,-96,4
"1169","Nj10",17,-96,4
"1170","Nj11",22,-99,4
"1171","Nj12",18,-98,4
"1172","Nj13",20,-99,4
"1173","Nj14",16,-96,4
"1174","Nj2",19,-99,4
"1175","Nj3",18,-95,4
"1176","Nj4",20,-97,4
"1177","Nj5",18,-97,4
"1178","Nj6",16.22,-95.02,5
"1179","Nj7",17,-95,4
"1180","Nj8",19,-101,5
"1181","Nj9",19,-98,4
"1182","Sa1",9,-78,5
"1183","Sa10",17,-92,6
"1184","Sa11",14,-91,4
"1185","Sa12",14,-88,4
"1186","Sa13",15,-91,4
"1187","Sa14",8,-81,5
"1188","Sa15",14,-90,4
"1189","Sa16",15,-87,5
"1190","Sa17",15,-91,4
"1191","Sa2",17,-92,4
"1192","Sa3",14,-89,4
"1193","Sa4",8,-78,4
"1194","Sa5",9,-83,5
"1195","Sa6",18,-90,5
"1196","Sa7",16,-89,5
"1197","Sa8",15,-92,4
"1198","Sa9",13,-85,6
"1199","Sb1",15.41,-61.27,5
"1200","Sb2",11,-74,4
"1201","Sb3",9,-72,6
"1202","Sb4",9,-64,4
"1203","Sb5",11,-72,7
"1204","Sb6",12,-72,2
"1205","Sb7",9,-72,6
"1206","Sb8",19.94,-75.37,5
"1207","Sb9",18.41,-72.17,4
"1208","Sc1",9,-62,1
"1209","Sc10",5.95,-56.98,5
"1210","Sc11",6,-63,6
"1211","Sc12",4,-59,6
"1212","Sc13",6,-66,6
"1213","Sc14",3,-55,6
"1214","Sc15",4,-62,5
"1215","Sc16",3,-65,6
"1216","Sc17",6,-68,6
"1217","Sc18",5,-54,4
"1218","Sc2",7,-68,6
"1219","Sc3",5,-59,6
"1220","Sc4",5,-69,6
"1221","Sc5",3,-60,6
"1222","Sc6",4,-56,6
"1223","Sc7",5,-66,6
"1224","Sc8",5,-67,1
"1225","Sc9",5,-67,6
"1226","Sd1",-6,-58,6
"1227","Sd2",-11,-52,5
"1228","Sd3",3,-52,6
"1229","Sd4",2,-65,7
"1230","Sd5",-4,-57,4
"1231","Sd6",4,-63,1
"1232","Sd7",1,-59,6
"1233","Sd8",4,-66,6
"1234","Sd9",2,-65,4
"1235","Se1",-16,-64,1
"1236","Se10",1,-79,5
"1237","Se11",-12,-67,6
"1238","Se12",0,-70,6
"1239","Se2",-3,-70,5
"1240","Se3",-3,-78,4
"1241","Se4",-3,-72,6
"1242","Se5",1,-71,5
"1243","Se6",-1,-74,6
"1244","Se7",-18,-63,4
"1245","Se8",-10,-72,6
"1246","Se9",-9,-74,5
"1247","Sf1",-13,-72,4
"1248","Sf2",-16,-69,4
"1249","Sf3",1,-79,5
"1250","Sf4",7,-72,5
"1251","Sf5",3,-76,4
"1252","Sf6",5,-72,4
"1253","Sf7",-8,-75,6
"1254","Sf8",-12,-73,5
"1255","Sf9",-16,-69,7
"1256","Sg1",-55.02,-68.98,7
"1257","Sg2",-39,-68,4
"1258","Sg3",-54,-69,7
"1259","Sg4",-46,-70,3
"1260","Sg5",-52,-74,7
"1261","Sh1",-24,-63,7
"1262","Sh2",-21,-58,5
"1263","Sh3",-29,-61,3
"1264","Sh4",-22,-57,6
"1265","Sh5",-22,-62,1
"1266","Sh6",-20,-59,1
"1267","Sh7",-20,-63,5
"1268","Sh8",-25,-60,6
"1269","Sh9",-23,-59,1
"1270","Si1",-16,-55,1
"1271","Si10",-13,-54,5
"1272","Si2",-12,-53,5
"1273","Si3",-14,-55,6
"1274","Si4",-12,-59,1
"1275","Si5",-12,-54,5
"1276","Si6",-19,-58,6
"1277","Si7",-15,-58,6
"1278","Si8",-15,-57,6
"1279","Si9",-12,-54,6
"1280","Sj1",-12,-50,7
"1281","Sj10",-26,-54,6
"1282","Sj11",-14,-52,1
"1283","Sj2",-9,-48,6
"1284","Sj3",-28,-50,1
"1285","Sj4",-7,-45,6
"1286","Sj5",-18,-42,1
"1287","Sj6",-3,-46,4
"1288","Sj7",-6,-49,6
"1289","Sj8",-8,-35,6
"1290","Sj9",-8,-52,4
